id,Latitude,Longitude,NumberOfStories,YearBuilt,OccupancyClass,PlanArea,StructureType,Footprint
29,61.21727977,-149.9006969,1,1954,COM1,3038,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.899800,61.217376],[-149.900516,61.217376],[-149.900516,61.217341],[-149.900645,61.217341],[-149.900645,61.217091],[-149.899800,61.217091],[-149.899800,61.217376]]]},""properties"":{}}"
30,61.2180224,-149.9006212,9,1965,RES4,84684,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.900155,61.217948],[-149.900158,61.217791],[-149.900029,61.217790],[-149.900028,61.217857],[-149.899927,61.217856],[-149.899925,61.217947],[-149.900155,61.217948]]]},""properties"":{}}"
31,61.21728666,-149.8985827,1,1955,COM4,11400,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.898552,61.217133],[-149.898372,61.217134],[-149.898373,61.217162],[-149.898305,61.217162],[-149.898307,61.217267],[-149.898376,61.217267],[-149.898376,61.217301],[-149.898556,61.217300],[-149.898552,61.217133]]]},""properties"":{}}"
32,61.21685971,-149.8980155,1,1959,COM4,3495,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.898034,61.216885],[-149.898337,61.216886],[-149.898334,61.217023],[-149.898581,61.217025],[-149.898584,61.216872],[-149.898734,61.216872],[-149.898738,61.216648],[-149.898325,61.216646],[-149.898325,61.216672],[-149.898038,61.216671],[-149.898034,61.216885]]]},""properties"":{}}"
33,61.2168563,-149.9013348,2,1960,COM4,13142,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.901508,61.216929],[-149.901506,61.216816],[-149.901246,61.216817],[-149.901247,61.216929],[-149.901508,61.216929]]]},""properties"":{}}"
34,61.21827031,-149.8984444,3,1968,COM4,14764,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.897754,61.218431],[-149.898776,61.218430],[-149.898776,61.218079],[-149.898017,61.218079],[-149.898017,61.218105],[-149.897924,61.218105],[-149.897924,61.218148],[-149.897754,61.218148],[-149.897754,61.218431]]]},""properties"":{}}"
35,61.21699407,-149.9006124,1,1941,RES1,400,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.899804,61.216652],[-149.899805,61.216863],[-149.899899,61.216863],[-149.899900,61.216967],[-149.900369,61.216966],[-149.900369,61.216926],[-149.900624,61.216926],[-149.900623,61.216664],[-149.900366,61.216664],[-149.900365,61.216651],[-149.899804,61.216652]]]},""properties"":{}}"
36,61.21685848,-149.9000535,2,1980,COM1,15906,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.899804,61.216652],[-149.899805,61.216863],[-149.899899,61.216863],[-149.899900,61.216967],[-149.900369,61.216966],[-149.900369,61.216926],[-149.900624,61.216926],[-149.900623,61.216664],[-149.900366,61.216664],[-149.900365,61.216651],[-149.899804,61.216652]]]},""properties"":{}}"
37,61.21992704,-149.8978772,2,2001,COM4,4760,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.897733,61.219994],[-149.897995,61.219995],[-149.897995,61.219963],[-149.898223,61.219963],[-149.898223,61.219836],[-149.898030,61.219836],[-149.898030,61.219870],[-149.897733,61.219870],[-149.897733,61.219994]]]},""properties"":{}}"
38,61.21973862,-149.8978768,2,1954,COM4,4197,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.897785,61.219692],[-149.897799,61.219692],[-149.897798,61.219766],[-149.897946,61.219766],[-149.897947,61.219609],[-149.897786,61.219608],[-149.897785,61.219692]]]},""properties"":{}}"
