id,Latitude,Longitude,ReplacementCost,PlanArea,YearBuilt,NumberOfStories,OccupancyClass,StructureType,Footprint
27,37.8774695,-122.279864,322866.6667,1614.333333,1936,2,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.279940,37.877427],[-122.279778,37.877440],[-122.279788,37.877512],[-122.279950,37.877499],[-122.279940,37.877427]]]},""properties"":{}}"
28,37.87780637,-122.2794657,291933.3333,1459.666667,1922,1,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.279408,37.877747],[-122.279444,37.877879],[-122.279523,37.877866],[-122.279488,37.877734],[-122.279408,37.877747]]]},""properties"":{}}"
29,37.87897073,-122.2788192,484800,2424,1926,2,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.278733,37.878920],[-122.278809,37.879055],[-122.278905,37.879021],[-122.278830,37.878887],[-122.278733,37.878920]]]},""properties"":{}}"
30,37.875153,-122.2771295,105000,525,1934,2,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.277073,37.875196],[-122.277186,37.875196],[-122.277186,37.875110],[-122.277073,37.875110],[-122.277073,37.875196]]]},""properties"":{}}"
31,37.87533727,-122.2700439,556833.3333,2784.166667,1925,3,RES3,C3,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.270084,37.875257],[-122.269986,37.875264],[-122.270004,37.875418],[-122.270102,37.875410],[-122.270084,37.875257]]]},""properties"":{}}"
32,37.87620969,-122.2708564,625900,3129.5,1945,2,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.270926,37.876165],[-122.270776,37.876178],[-122.270787,37.876254],[-122.270936,37.876242],[-122.270926,37.876165]]]},""properties"":{}}"
33,37.876547,-122.274491,128933.3333,644.6666667,1918,2,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.274564,37.876501],[-122.274407,37.876514],[-122.274418,37.876593],[-122.274575,37.876580],[-122.274564,37.876501]]]},""properties"":{}}"
34,37.87652275,-122.2682626,582400,2912,1957,2,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.268314,37.876598],[-122.268312,37.876447],[-122.268211,37.876448],[-122.268213,37.876598],[-122.268314,37.876598]]]},""properties"":{}}"
35,37.87713,-122.277353,633000,3165,1975,2,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.277265,37.877182],[-122.277453,37.877166],[-122.277441,37.877078],[-122.277253,37.877094],[-122.277265,37.877182]]]},""properties"":{}}"
36,37.87855746,-122.2769127,353500,1767.5,1908,2,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.276820,37.878525],[-122.276840,37.878613],[-122.277005,37.878590],[-122.276986,37.878502],[-122.276820,37.878525]]]},""properties"":{}}"
37,37.87956733,-122.2758624,451400,2257,1924,1,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.275855,37.879483],[-122.275856,37.879496],[-122.275757,37.879503],[-122.275773,37.879652],[-122.275965,37.879638],[-122.275947,37.879477],[-122.275855,37.879483]]]},""properties"":{}}"
38,37.87742172,-122.2581346,147766.6667,1136.666667,1950,2,COM10,RM1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.258216,37.877467],[-122.258187,37.877355],[-122.258053,37.877377],[-122.258082,37.877488],[-122.258216,37.877467]]]},""properties"":{}}"
39,37.877797,-122.259381,43073.33333,331.3333333,1990,1,COM10,C3,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.259307,37.877749],[-122.259317,37.877853],[-122.259455,37.877845],[-122.259445,37.877741],[-122.259307,37.877749]]]},""properties"":{}}"
40,37.880448,-122.2645175,520700,2603.5,1910,2,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.264431,37.880510],[-122.264619,37.880493],[-122.264604,37.880386],[-122.264416,37.880403],[-122.264431,37.880510]]]},""properties"":{}}"
41,37.86771254,-122.2792383,393466.6667,1967.333333,1934,2,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.279307,37.867670],[-122.279160,37.867682],[-122.279169,37.867755],[-122.279317,37.867743],[-122.279307,37.867670]]]},""properties"":{}}"
42,37.86980477,-122.2804765,497800,2489,1924,1,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.280507,37.869738],[-122.280428,37.869745],[-122.280446,37.869872],[-122.280525,37.869864],[-122.280507,37.869738]]]},""properties"":{}}"
