id,Latitude,Longitude,NumberOfStories,YearBuilt,OccupancyClass,StructureType,PlanArea,ReplacementCost
5978,37.5496,-122.335,1,1951,RES1,W1,5798.65,504813
5979,37.5496,-122.336,2,1950,RES1,W1,4580.59,1074464
5980,37.5494,-122.336,2,1950,RES1,W1,4299.85,1074464
5981,37.5496,-122.333,2,1931,RES1,W1,4715.07,269252
5982,37.5496,-122.335,1,1941,RES1,W1,2479.95,623964
5983,37.5495,-122.34,1.5,1963,RES1,W1,2273.78,472919
5984,37.5495,-122.336,1,1941,RES1,W1,2297.42,288586
5985,37.5494,-122.339,1,1958,RES1,W1,2641.26,936211
5986,37.5483,-122.316,1,1953,RES1,W1,2778.24,182982
5987,37.5482,-122.317,2,1954,RES1,W1,2005.53,127147
5988,37.5483,-122.317,2,1954,RES1,W1,2778.29,127147
5989,37.5481,-122.316,1,1954,RES1,W1,2411.84,421173
5990,37.5481,-122.317,1,1953,RES1,W1,3066.36,177792
5991,37.548,-122.317,1,1954,RES1,W1,2475.96,543158
5992,37.548,-122.316,1,1954,RES1,W1,2152.97,461731
5993,37.548,-122.317,1,1954,RES1,W1,2264.2,445462
5994,37.5479,-122.317,1,1954,RES1,W1,2547.25,181671
5995,37.5478,-122.311,1,1951,RES3,W1,3576.59,221499
5996,37.5477,-122.311,1,1951,RES3,W1,701.882,221499
5997,37.5478,-122.317,1,1954,RES1,W1,2586.55,306857
5998,37.5478,-122.318,1,1968,RES1,W1,4011.28,129334
5999,37.5476,-122.318,1,1968,RES1,W1,3934.64,129334
6000,37.5478,-122.317,1,1953,RES1,W1,2146.86,595431
6001,37.5477,-122.318,1,1953,RES1,W1,2624.1,83817
6002,37.5476,-122.318,1,1953,RES1,W1,3240.37,366057
6003,37.5476,-122.312,1,1924,RES1,W1,1513.85,147341
6004,37.5476,-122.316,1,1953,RES1,W1,2340.75,475342
6005,37.5476,-122.318,1,1953,RES1,W1,2326.8,80702
6006,37.5475,-122.312,1,1999,COM4,PC1,4998.85,168393
6007,37.5474,-122.312,1,1930,COM4,W2,4495.63,58699
6008,37.5472,-122.312,1,1930,COM4,URM,4553.6,58699
6009,37.5474,-122.318,1,1953,RES1,W1,3051.27,292355
6010,37.5474,-122.317,1,1953,RES1,W1,2270.97,312220
6011,37.5473,-122.319,1,1957,RES1,W1,2896.71,180065
6012,37.5472,-122.312,1,1980,COM4,S4,14195.3,1191885
6013,37.5473,-122.319,1,1954,RES1,W1,2672.67,380616
6014,37.5473,-122.317,1,1954,RES1,W1,1786.06,533006
6015,37.5472,-122.319,1,1954,RES1,W1,2644.97,360367
6016,37.5472,-122.318,1,1953,RES1,W1,2395.72,247591
6017,37.5472,-122.319,1,1968,RES1,W1,3100.29,123724
6018,37.5472,-122.32,2,1960,RES1,W1,3613.08,644944
6019,37.5471,-122.318,1,1955,RES1,W1,3632.05,281190
6020,37.5472,-122.316,1,1953,RES1,W1,2128.61,397620
6021,37.5471,-122.317,1,1953,RES1,W1,2361.93,288694
6022,37.5471,-122.318,1,1953,RES1,W1,2314.29,447611
6023,37.547,-122.317,1,1954,RES1,W1,2717.24,188974
6024,37.547,-122.316,1,1953,RES1,W1,2684.94,67919
6025,37.547,-122.318,1,1956,RES1,W1,3684.26,308206
6026,37.547,-122.316,1,1942,RES1,W1,2499.79,199489
6027,37.5469,-122.318,1,1953,RES1,W1,2347.82,750762
6028,37.5468,-122.312,2,1961,COM4,W2,6229.92,1281071
6029,37.5469,-122.317,1,1954,RES1,W1,2478.39,78043
6030,37.5469,-122.315,1,1955,RES3,W1,2211.42,415573
6031,37.5468,-122.315,1,1955,RES3,RM1,1877.49,415573
6032,37.5469,-122.316,1,1942,RES1,W1,1776.2,375499
6033,37.5468,-122.32,2,1960,RES1,W1,3203.27,170864
6034,37.5468,-122.318,1,1953,RES1,W1,2348.42,583768
6035,37.5468,-122.316,1,1942,RES1,W1,717.234,305332
6036,37.5468,-122.317,1,1942,RES1,W1,1739.15,305332
6037,37.5467,-122.315,1,1950,RES1,W1,2615.54,750052
6038,37.5466,-122.312,2,1961,COM4,PC1,5691.56,923523
6039,37.5467,-122.317,1,1942,RES1,W1,1798.64,403858
6040,37.5466,-122.318,1,1953,RES1,W1,2689.06,157554
6041,37.5466,-122.316,1,1947,RES1,W1,3213.81,333816
6042,37.5466,-122.32,1,1954,RES1,W1,2924.77,164842
6043,37.5466,-122.318,1,1955,RES1,W1,2499.69,182426
6044,37.5466,-122.314,1,1948,RES1,W1,1191.61,123328
6045,37.5465,-122.316,1,1940,RES1,W1,4057.93,517256
6046,37.5465,-122.312,2,1960,COM4,C2,6443.64,1292936
6047,37.5465,-122.315,1,1950,RES1,W1,1671.81,238371
6048,37.5465,-122.316,1,1940,RES1,W1,1375.3,58602
6049,37.5465,-122.315,1,1925,RES1,W1,2371.95,488098
6050,37.5465,-122.318,1,1942,RES1,W1,1701.68,298519
6051,37.5465,-122.316,1,1940,RES1,W1,1368.15,58602
6052,37.546,-122.316,1,1940,RES1,W1,4754.59,58602
6053,37.5465,-122.319,1,1958,RES1,W1,2347.89,121224
6054,37.5465,-122.316,1,1940,RES1,W1,1334.24,318675
6055,37.5464,-122.312,1,1957,COM4,C2,3294.3,623376
6056,37.5464,-122.314,1,1960,RES3,W1,917.954,153637
6057,37.5463,-122.314,1,1980,RES3,W1,1417.04,153637
6058,37.5464,-122.318,1,1942,RES1,W1,1451.67,272599
6059,37.5464,-122.314,1,1929,RES1,W1,1139.58,332340
6060,37.5462,-122.314,1,1929,RES1,W1,4374.82,332340
6061,37.5461,-122.314,1,1929,RES1,W1,4296.78,332340
6062,37.5464,-122.314,1,1917,RES1,W1,1723.02,325781
6063,37.5464,-122.316,1,1940,RES1,W1,1520.94,59622
6064,37.5464,-122.319,1,1942,RES1,W1,1570.62,155684
6065,37.5463,-122.319,1,1942,RES1,W1,1580.43,327271
6066,37.5463,-122.319,1,1942,RES1,W1,1643.95,94584
6067,37.5462,-122.319,1,1942,RES1,RM1,1952.45,406848
6068,37.5462,-122.319,1,1942,RES1,W1,1552.77,130000
6069,37.5462,-122.32,1,1942,RES1,W1,1988.55,455796
6070,37.5462,-122.311,1,1980,COM4,W2,6508.83,145000
6071,37.5462,-122.316,1,1940,RES1,W1,2390.83,585076
6072,37.5462,-122.314,1,1948,RES1,RM1,584.174,659748
6073,37.5462,-122.314,1,1948,RES1,W1,707.17,659748
6074,37.546,-122.314,1,1948,RES1,W1,1731.19,659748
6075,37.5462,-122.315,1,1948,RES1,W1,2359.03,110005
6076,37.5461,-122.316,1,1948,RES1,W1,730.533,110005
6077,37.5461,-122.316,1,1940,RES1,W1,1422.96,525000
6078,37.546,-122.315,1,1947,RES1,W1,2639.09,111724
6079,37.546,-122.313,2,2008,RES1,W1,1015.27,955138
6080,37.5458,-122.314,2,2008,RES1,W1,3368.5,955138
6081,37.5457,-122.313,2,2008,RES1,W1,1344.34,955138
6082,37.5459,-122.314,1,1937,RES1,W1,3918.99,302196
6083,37.5459,-122.319,1,1960,EDU1,W1,8799.25,1765263
6084,37.5452,-122.319,1,1980,EDU1,RM1,2836.93,1765263
6085,37.5459,-122.315,1,1948,RES1,W1,2520.65,569544
6086,37.5459,-122.311,1,1937,RES1,W1,4009.4,268876
6087,37.5455,-122.312,1,1937,RES1,RM1,2089.55,268876
6088,37.5459,-122.319,1,1940,RES1,W1,1585.66,66415
6089,37.5457,-122.319,1,1940,RES1,W1,3922.08,66415
6090,37.5459,-122.316,1,1946,RES1,W1,933.837,189222
6091,37.5458,-122.316,1,1946,RES1,W1,2486.27,189222
6092,37.5459,-122.319,1,1940,RES1,W1,1924.76,290680
6093,37.5458,-122.319,1,1940,RES1,W1,2036.73,173535
6094,37.5458,-122.315,1,1984,RES1,W1,1339.98,245143
6095,37.5457,-122.315,1,1984,RES1,W1,3478.49,245143
6096,37.5457,-122.314,1,1960,RES6,W1,2888.68,624708
6097,37.5457,-122.311,1,1951,RES3,W1,2471.5,351078
6098,37.5456,-122.316,1,1947,RES1,W1,3740.57,429668
6099,37.5456,-122.314,1,1956,RES1,W1,3314.15,511275
6100,37.5455,-122.312,1,1930,RES6,URM,4199.13,421127
6101,37.5455,-122.312,1,1978,RES1,W1,3284.26,423364
6102,37.5455,-122.319,1,1957,RES1,W1,1758.02,109851
6103,37.5455,-122.313,1,1940,RES1,W1,1227.89,254046
