id,Latitude,Longitude,NumberOfStories,YearBuilt,OccupancyClass,StructureType,PlanArea,ReplacementCost,Footprint
31,37.88515988,-122.3002278,3,2000,RES3,W2,7460,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.300236,37.885279],[-122.300400,37.885250],[-122.300342,37.885046],[-122.300326,37.885049],[-122.300270,37.884851],[-122.300122,37.884878],[-122.300236,37.885279]]]},""properties"":{}}"
32,37.88513492,-122.3006389,3,2000,RES3,W2,6700,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.300892,37.885136],[-122.300860,37.885018],[-122.300391,37.885099],[-122.300423,37.885216],[-122.300892,37.885136]]]},""properties"":{}}"
33,37.88501014,-122.3012017,3,2000,RES3,W2,6700,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.301398,37.884900],[-122.300929,37.884982],[-122.300963,37.885101],[-122.301432,37.885019],[-122.301398,37.884900]]]},""properties"":{}}"
34,37.88478552,-122.3014168,3,2000,RES3,W2,7460,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.301623,37.884983],[-122.301493,37.884584],[-122.301345,37.884614],[-122.301474,37.885013],[-122.301623,37.884983]]]},""properties"":{}}"
35,37.88475058,-122.301012,3,2000,RES3,W2,6700,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.301306,37.884641],[-122.300845,37.884734],[-122.300882,37.884848],[-122.301343,37.884756],[-122.301306,37.884641]]]},""properties"":{}}"
36,37.88487037,-122.3005187,3,2000,RES3,W2,6700,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.300300,37.884850],[-122.300339,37.884969],[-122.300807,37.884874],[-122.300768,37.884755],[-122.300300,37.884850]]]},""properties"":{}}"
37,37.88463577,-122.3017772,1,2000,RES1,W1,1265,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.301840,37.884560],[-122.301709,37.884592],[-122.301732,37.884651],[-122.301863,37.884619],[-122.301840,37.884560]]]},""properties"":{}}"
38,37.88446606,-122.3017519,3,2000,RES3,W2,8600,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.301557,37.884088],[-122.301708,37.884564],[-122.301853,37.884535],[-122.301701,37.884059],[-122.301557,37.884088]]]},""properties"":{}}"
39,37.88444111,-122.3022199,3,2000,RES3,W2,8600,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.302524,37.884477],[-122.302493,37.884372],[-122.302147,37.884437],[-122.302143,37.884427],[-122.301888,37.884474],[-122.301923,37.884589],[-122.302524,37.884477]]]},""properties"":{}}"
40,37.88450674,-122.3002063,3,2000,RES3,W2,7460,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.300020,37.884265],[-122.300152,37.884661],[-122.300300,37.884630],[-122.300168,37.884234],[-122.300020,37.884265]]]},""properties"":{}}"
41,37.88453717,-122.300366,3,2000,RES3,W2,4000,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.300686,37.884537],[-122.300650,37.884419],[-122.300295,37.884487],[-122.300332,37.884605],[-122.300686,37.884537]]]},""properties"":{}}"
42,37.88426326,-122.3004101,3,2000,RES3,W2,4000,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.300564,37.884166],[-122.300208,37.884232],[-122.300242,37.884347],[-122.300598,37.884282],[-122.300564,37.884166]]]},""properties"":{}}"
43,37.88444152,-122.3008122,3,2000,RES3,W2,6700,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.301197,37.884305],[-122.300730,37.884386],[-122.300763,37.884505],[-122.301230,37.884424],[-122.301197,37.884305]]]},""properties"":{}}"
44,37.88437195,-122.3013301,3,2000,RES3,W2,7460,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.301414,37.884393],[-122.301295,37.883993],[-122.301145,37.884021],[-122.301265,37.884421],[-122.301414,37.884393]]]},""properties"":{}}"
45,37.88413717,-122.3010711,3,2000,RES3,W2,6700,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.300640,37.884137],[-122.300676,37.884253],[-122.301141,37.884162],[-122.301105,37.884047],[-122.300640,37.884137]]]},""properties"":{}}"
46,37.88396796,-122.3001036,3,2000,RES3,W2,2800,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.300273,37.883900],[-122.300031,37.883866],[-122.300007,37.883970],[-122.300249,37.884004],[-122.300273,37.883900]]]},""properties"":{}}"
47,37.88391422,-122.300551,3,2000,RES3,W2,4600,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.300743,37.883918],[-122.300695,37.883820],[-122.300597,37.883850],[-122.300589,37.883850],[-122.300529,37.883869],[-122.300530,37.883881],[-122.300407,37.883887],[-122.300385,37.883894],[-122.300336,37.883896],[-122.300310,37.883904],[-122.300318,37.884003],[-122.300501,37.883994],[-122.300498,37.883954],[-122.300563,37.883950],[-122.300573,37.883970],[-122.300743,37.883918]]]},""properties"":{}}"
48,37.88374152,-122.3009254,3,2000,RES3,W2,2800,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.300992,37.883751],[-122.300902,37.883677],[-122.300730,37.883807],[-122.300820,37.883881],[-122.300992,37.883751]]]},""properties"":{}}"
49,37.88373384,-122.3002009,3,2000,RES3,W2,2800,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.300235,37.883590],[-122.300120,37.883753],[-122.300241,37.883806],[-122.300356,37.883643],[-122.300235,37.883590]]]},""properties"":{}}"
